event_id,Mw,epi_dist
EMSC-20151129_0000001,4.2,209.5
EMSC-20151129_0000132,4.1,194.3
EMSC-20151206_0000062,4.0,171.2
EMSC-20151213_0000005,4.1,82.3
EMSC-20160104_0000020,4.2,137.3
EMSC-20160104_0000065,4.3,179.9
EMSC-20160105_0000027,4.4,157.4
EMSC-20160106_0000081,4.4,170.6
EMSC-20160108_0000051,4.5,81.4
EMSC-20160119_0000099,4.5,121.9
EMSC-20160123_0000024,4.0,147.2
EMSC-20160131_0000043,4.6,213.0
EMSC-20160205_0000089,4.6,179.3
EMSC-20160225_0000015,4.1,122.7
EMSC-20160228_0000054,4.0,137.7
EMSC-20160504_0000030,4.1,208.5
EMSC-20160831_0000112,4.2,75.6
EMSC-20161016_0000004,4.6,206.0
EMSC-20161016_0000016,4.1,201.5
EMSC-20161029_0000147,4.1,150.1
EMSC-20161030_0000033,4.2,1.4
EMSC-20161030_0000037,4.1,4.9
EMSC-20161030_0000039,4.0,73.0
EMSC-20161031_0000133,4.2,178.6
EMSC-20161104_0000026,4.1,69.7
EMSC-20161114_0000010,4.1,80.5
EMSC-20161211_0000049,4.2,74.4
EMSC-20161220_0000010,5.3,290.7
EMSC-20161223_0000102,4.2,154.2
FR-1997-0022,4.8,38.7
GE-1991-0008,3.9,15.9
GR-1986-0001,4.1,12.5
GR-1987-0006,5.3,16.6
GR-1988-0008,5.3,21.1
GR-1988-0020,5.9,47.2
GR-1989-0002,5.2,22.8
GR-1990-0004,4.0,11.6
GR-1994-0004,4.0,19.7
GR-1994-0014,4.0,13.7
GR-1996-0004,4.7,18.6
GR-1997-0016,3.8,13.6
GR-2014-0002,4.4,280.3
HU-1995-0001,3.8,16.9
ISC-132403,4.0,18.3
ISC-1546103,4.0,20.9
ISC-1669203,3.5,14.8
ISC-468047,5.3,78.6
ISC-627390,5.6,25.5
ISC-98752,4.5,17.6
ISC-990363,4.1,58.7
ISIDe-1181361,4.1,171.9
ISIDe-2166809,4.2,17.1
ISIDe-2343699,4.0,189.0
ISIDe-2433371,4.0,132.4
ISIDe-6096411,4.1,62.4
IT-1972-0005,4.7,11.5
IT-1972-0007,4.2,8.5
IT-1972-0009,4.0,25.9
IT-1976-0001,4.5,28.8
IT-1976-0004,4.1,22.6
IT-1976-0006,4.7,17.4
IT-1976-0008,4.1,1.2
IT-1976-0009,4.2,20.8
IT-1976-0010,4.1,5.1
IT-1976-0013,4.1,5.3
IT-1976-0014,4.5,22.9
IT-1976-0015,4.1,2.9
IT-1976-0016,4.3,2.8
IT-1976-0018,4.1,12.4
IT-1976-0019,4.3,21.0
IT-1976-0023,3.8,5.0
IT-1976-0026,4.3,11.1
IT-1976-0028,4.8,11.7
IT-1976-0029,4.6,10.2
IT-1976-0032,4.3,22.1
IT-1976-0033,3.7,18.1
IT-1977-0003,4.7,9.1
IT-1977-0006,3.9,11.0
IT-1977-0007,4.0,50.2
IT-1978-0003,4.1,36.0
IT-1978-0007,4.2,5.2
IT-1979-0008,3.7,10.8
IT-1979-0010,4.2,3.4
IT-1980-0006,4.2,9.3
IT-1980-0008,4.1,11.1
IT-1980-0009,4.3,14.6
IT-1980-0015,4.4,16.4
IT-1980-0021,4.3,12.0
IT-1980-0025,4.3,6.8
IT-1980-0028,4.5,42.3
IT-1980-0030,4.6,4.5
IT-1980-0031,4.0,13.7
IT-1980-0032,4.0,31.9
IT-1980-0033,4.2,10.1
IT-1980-0034,4.1,12.0
IT-1982-0002,5,41.3
IT-1982-0004,4.1,14.9
IT-1982-0005,4.1,10.7
IT-1982-0008,4.0,16.8
IT-1984-0003,4.0,16.4
IT-1984-0007,4.1,10.8
IT-1984-0010,4.4,9.2
IT-1984-0011,4.0,9.1
IT-1984-0013,4.3,11.9
IT-1984-0015,4.4,4.5
IT-1997-0142,4.0,1.9
IT-1997-0205,4.1,22.8
IT-2002-0038,4.1,29.2
IT-2002-0049,4.2,94.8
IT-2002-0058,4.3,21.6
EMSC-20151119_0000008,4.0,305.5
EMSC-20151120_0000007,4.1,296.5
EMSC-20151121_0000075,4.2,167.9
EMSC-20151123_0000035,4.2,191.3
EMSC-20151125_0000011,4.1,257.1
EMSC-20151129_0000001,4.2,209.5
EMSC-20151129_0000132,4.1,194.3
EMSC-20151206_0000062,4.0,171.2
EMSC-20151213_0000005,4.1,82.3
EMSC-20160104_0000020,4.2,137.3
EMSC-20160104_0000065,4.3,179.9
EMSC-20160105_0000027,4.4,157.4
EMSC-20160106_0000081,4.4,170.6
EMSC-20160108_0000051,4.5,81.4
EMSC-20160119_0000099,4.5,121.9
EMSC-20160123_0000024,4.0,147.2
EMSC-20160131_0000043,4.6,213.0
EMSC-20160205_0000089,4.6,179.3
EMSC-20160225_0000015,4.1,122.7
EMSC-20160228_0000054,4.0,137.7
EMSC-20160504_0000030,4.1,208.5
EMSC-20160831_0000112,4.2,75.6
EMSC-20161016_0000004,4.6,206.0
EMSC-20161016_0000016,4.1,201.5
EMSC-20161029_0000147,4.1,150.1
EMSC-20161030_0000033,4.2,1.4
EMSC-20161030_0000037,4.1,4.9
EMSC-20161030_0000039,4.0,73.0
EMSC-20161031_0000133,4.2,178.6
EMSC-20161104_0000026,4.1,69.7
EMSC-20161114_0000010,4.1,80.5
EMSC-20161211_0000049,4.2,74.4
EMSC-20161220_0000010,5.3,290.7
EMSC-20161223_0000102,4.2,154.2
FR-1997-0022,4.8,38.7
GE-1991-0008,3.9,15.9
GR-1986-0001,4.1,12.5
GR-1987-0006,5.3,16.6
GR-1988-0008,5.3,21.1
GR-1988-0020,5.9,47.2
GR-1989-0002,5.2,22.8
GR-1990-0004,4.0,11.6
GR-1994-0004,4.0,19.7
GR-1994-0014,4.0,13.7
GR-1996-0004,4.7,18.6
GR-1997-0016,3.8,13.6
GR-2014-0002,4.4,280.3
HU-1995-0001,3.8,16.9
ISC-132403,4.0,18.3
ISC-1546103,4.0,20.9
ISC-1669203,3.5,14.8
ISC-468047,5.3,78.6
ISC-558890,5.6,21.9
ISC-98752,4.5,17.6
ISIDe-1181361,4.1,171.9
ISIDe-2166809,4.2,17.1
ISIDe-2343699,4.0,189.0
ISIDe-2433371,4.0,132.4
ISIDe-6096411,4.1,62.4
IT-1972-0005,4.7,11.5
IT-1972-0007,4.2,8.5
IT-1972-0009,4.0,25.9
IT-1976-0001,4.5,28.8
IT-1976-0004,4.1,22.6
IT-1976-0006,4.7,17.4
IT-1976-0008,4.1,1.2
IT-1976-0009,4.2,20.8
IT-1976-0010,4.1,5.1
IT-1976-0013,4.1,5.3
IT-1976-0014,4.5,22.9
IT-1976-0015,4.1,2.9
IT-1976-0016,4.3,2.8
IT-1976-0018,4.1,12.4
IT-1976-0019,4.3,21.0
IT-1976-0023,3.8,5.0
IT-1976-0026,4.3,11.1
IT-1976-0028,4.8,11.7
IT-1976-0029,4.6,10.2
IT-1976-0032,4.3,22.1
IT-1976-0033,3.7,18.1
IT-1977-0003,4.7,9.1
IT-1977-0006,3.9,11.0
IT-1977-0007,4.0,50.2
IT-1978-0003,4.1,36.0
IT-1978-0007,4.2,5.2
IT-1979-0008,3.7,10.8
IT-1979-0010,4.2,3.4
IT-1980-0006,4.2,9.3
IT-1980-0008,4.1,11.1
IT-1980-0009,4.3,14.6
IT-1980-0015,4.4,16.4
IT-1980-0021,4.3,12.0
IT-1980-0025,4.3,6.8
